Date,vs_ew,excess_1d,log_ret_1d,rf_1d,forecast_excess,invested,strategy_log_ret_gross,switch,strategy_log_ret_net,buy_hold_log_ret,cash_log_ret,strategy_log_ret_gross_growth,strategy_log_ret_net_growth,buy_hold_log_ret_growth,cash_log_ret_growth
2021-05-20,0.11878115601276457,-0.0007873921072165623,-0.0007841270013964568,3.2651058201055554e-06,-0.0004181010967714751,0,3.2651058201055554e-06,1.0,-9.673489417989445e-05,-0.0007841270013964568,3.2651058201055554e-06,127.882036571133,126.69824678567643,138.97291675723412,101.53172991788779
2021-05-21,0.12088500078335945,0.009859323338942955,0.009862511119055,3.1877801120444443e-06,-0.0006678954691929882,0,3.1877801120444443e-06,0.0,3.1877801120444443e-06,0.009862511119055,3.1877801120444443e-06,127.88244423159563,126.6986506724715,140.3503198558059,101.53205357923305
2021-05-24,0.10924546502311247,-0.0021312052742204386,-0.002127563955626335,3.6413185941039683e-06,0.0007204261154349651,1,-0.002127563955626335,1.0,-0.0022275639556263347,-0.002127563955626335,3.6413185941039683e-06,127.6106553792956,126.41673543369214,140.05203299881973,101.53242329046077
2021-05-25,0.1085112897497982,0.0018714074724822509,0.0018749737128450623,3.566240362811508e-06,0.0008044760280892741,1,0.0018749737128450623,0.0,0.0018749737128450623,0.0018749737128450623,3.566240362811508e-06,127.85014645318327,126.65398583912577,140.3148732113658,101.53278538013248
2021-05-26,0.1112250883410375,0.00116126207059527,0.0011647198427041133,3.457772108843254e-06,0.00048506907024147526,1,0.0011647198427041133,0.0,0.0011647198427041133,0.0011647198427041133,3.457772108843254e-06,127.99914280831189,126.80158819059785,140.47839593901855,101.53313645797289
2021-05-27,0.10450308857142857,0.0007652036667756822,0.0007685910772065211,3.3874104308388886e-06,0.001279301492290063,1,0.0007685910772065211,0.0,0.0007685910772065211,0.0007685910772065211,3.3874104308388886e-06,128.09755962366265,126.8990842223473,140.5864078838689,101.53348039296093
2021-05-28,0.11190375904761904,-0.0004957474876678971,-0.0004924965749694844,3.2509126984126984e-06,0.00040510264494617206,1,-0.0004924965749694844,0.0,-0.0004924965749694844,-0.0004924965749694844,3.2509126984126984e-06,128.0344875469518,126.83660224534381,140.517186606519,101.53381046997816
2021-06-01,0.11682067071748006,0.0014426708659866043,0.0014458704850342234,3.1996190476190477e-06,-0.0001761640714003261,0,3.1996190476190477e-06,1.0,-9.680038095238096e-05,0.0014458704850342234,3.1996190476190477e-06,128.03489720919228,126.82432500815794,140.72050320859032,101.53413534001186
2021-06-02,0.1157434166988417,-0.0036384984527561615,-0.003635298499241423,3.199953514738889e-06,-4.7341490501236205e-05,0,3.199953514738889e-06,0.0,3.199953514738889e-06,-0.003635298499241423,3.199953514738889e-06,128.03530691556713,126.82473084075183,140.20987088726983,101.53446024504493
2021-06-03,0.11112667747664987,0.008792109411054117,0.0087952943520972,3.18494104308373e-06,0.0004942470222091613,1,0.0087952943520972,1.0,0.008695294352097201,0.0087952943520972,3.18494104308373e-06,129.16638190469212,127.93231762455086,141.4484970288357,101.53478362682964
2021-06-04,0.11388384805194804,-0.0008001514879836401,-0.0007970285684825064,3.12291950113373e-06,0.0001761372968018208,1,-0.0007970285684825064,0.0,-0.0007970285684825064,-0.0007970285684825064,3.12291950113373e-06,129.06347362409406,127.83039253657111,141.3358034517008,101.53510071228058
2021-06-07,0.10864830133519976,0.0001719756391213163,0.00017506961427659565,3.0939751552793647e-06,0.0007935126937019393,1,0.00017506961427659565,0.0,0.00017506961427659565,0.00017506961427659565,3.0939751552793647e-06,129.08607069461112,127.85277371316013,141.36054922234763,101.53541485984556
2021-06-08,0.11182584758264244,-0.0018284573558532903,-0.001825541746812573,2.9156090407174605e-06,0.00041771057466006775,1,-0.001825541746812573,0.0,-0.001825541746812573,-0.001825541746812573,2.9156090407174605e-06,128.85063364908865,127.61958604896904,141.1027250443921,101.53571089785065
2021-06-09,0.11199460022930027,0.004638505280501559,0.004641367023082649,2.8617425810900792e-06,0.0003957612584324314,1,0.004641367023082649,0.0,0.004641367023082649,0.004641367023082649,2.8617425810900792e-06,129.45006674942675,128.21329212524287,141.75915677114529,101.53600146733379
2021-06-10,0.11325796718066519,0.00194387848118271,0.001946594193743096,2.715712560386111e-06,0.00025040422874873444,1,0.001946594193743096,0.0,0.001946594193743096,0.001946594193743096,2.715712560386111e-06,129.70229891492812,128.46311444770956,142.0353730759329,101.53627721030271
2021-06-11,0.11895937081339716,0.0018108419687644774,0.0018135655401930488,2.7235714285714285e-06,-0.0004211587132279416,0,2.7235714285714285e-06,1.0,-9.727642857142857e-05,0.0018135655401930488,2.7235714285714285e-06,129.70265216888473,128.4506186225174,142.29319725388845,101.5365537519829
2021-06-14,0.11698041658433309,-0.0020166003855408413,-0.0020137061101785226,2.8942753623186506e-06,-0.0001850682094654884,0,2.8942753623186506e-06,0.0,2.8942753623186506e-06,-0.0020137061101785226,2.8942753623186506e-06,129.70302756461857,128.45099039451617,142.00694887991966,101.53684762715407
2021-06-15,0.11856943660790717,-0.0054079314951632216,-0.005404786783292966,3.1447118702551587e-06,-0.00037453958365502027,0,3.1447118702551587e-06,0.0,3.1447118702551587e-06,-0.005404786783292966,3.1447118702551587e-06,129.7034354439103,128.45139433650556,141.24150200139798,101.53716693178613
2021-06-16,0.11659271740143368,-0.000438823113751736,-0.0004357319180995622,3.0911956521738095e-06,-0.0001466285241245851,0,3.0911956521738095e-06,0.0,3.0911956521738095e-06,-0.0004357319180995622,3.0911956521738095e-06,129.7038363832257,128.45179140551096,141.17997197708695,101.53748080352021
