Date,spot,risk_free,raw_rows,put_iv_ew,call_iv_ew,atm_put_iv_ew,delta_put_iv_ew,delta_call_iv_ew,put_iv_qw,call_iv_qw,atm_put_iv_qw,n_put,n_call,n_delta_put,n_delta_call,vs_ew,vs_qw,vs_delta_ew,atm_cp_ew,atm_cp_qw,log_ret_1d,rf_1d,excess_1d,log_ret_5d,rf_5d,excess_5d,log_ret_10d,rf_10d,excess_10d,log_ret_21d,rf_21d,excess_21d,next_year
2019-11-29,3140.98,0.01717289,1095,0.22050130097087378,0.11616880555555556,0.11165664940239044,0.1520715,0.111699125,0.2030992668612134,0.12487548429712542,0.11250901337957056,309,252,158,24,0.10433249541531822,0.07822378256408799,0.040372375,0.004512156153165123,0.012366470917554856,-0.008668527546202967,6.814638888888889e-05,-0.008736673935091857,0.0015683433336758654,0.0003374587811791377,0.0012308845524967276,0.008818114188249848,0.0006784334105725611,0.008139680777677287,0.02818874101228944,0.0014368836370321732,0.026751857375257267,2019
2019-12-02,3113.87,0.0169808421428571,1150,0.23212413783783784,0.13459675806451613,0.12847526490066224,0.17478340454545455,0.13241563636363637,0.21343042889176778,0.14839205003614858,0.12851873474111025,370,310,220,33,0.09752737977332171,0.0650383788556192,0.04236776818181817,0.0061214931638538805,0.01987331529503833,-0.006660171838373699,6.73842942176869e-05,-0.006727556132591386,0.007069021713656568,0.00033661001558956826,0.006732411698067,0.024609033385690583,0.0006772304674508679,0.023931802918239715,0.04520114301318541,0.0014371011914539418,0.04376404182173147,2019
2019-12-03,3093.2,0.0169589082142857,1154,0.23854565083798884,0.1462823193548387,0.13817793311036788,0.18520289777777776,0.14603686486486486,0.2184879331527552,0.15500373194280972,0.1473922736653882,358,310,225,37,0.09226333148315013,0.06348420120994547,0.0391660329129129,0.008104386244470824,0.007611458277421518,0.006303638685847347,6.729725481859404e-05,0.006236341431028753,0.012631638691736922,0.00033839209325396745,0.012293246598482955,0.031604419835041433,0.0006782004071876322,0.030926219427853802,0.04477640527347557,0.001436676408574123,0.04333972886490144,2019
2019-12-04,3112.76,0.0170205421428571,1142,0.2311901945945946,0.1377666806451613,0.1305560779661017,0.17601587557603687,0.13671611428571429,0.21343911994022396,0.15145598055059217,0.13217118513644596,370,310,217,35,0.09342351394943332,0.06198313938963179,0.03929976129032259,0.007210602679059597,0.01928479541414621,0.0014991519920369975,6.754183390022659e-05,0.0014316101581367709,0.009231981071733305,0.0003404131660997722,0.008891567905633533,0.024868427289027044,0.0006796263612434968,0.024188800927783548,0.041999932945950814,0.0014358893884494064,0.04056404355750141,2019
2019-12-05,3117.43,0.0169064303571428,1302,0.23051725866666667,0.13410175806451613,0.1282786948051948,0.17326134449760766,0.13367921875,0.21131822535994146,0.14881576315600953,0.13097645234108743,375,310,209,32,0.09641550060215054,0.06250246220393194,0.039582125747607666,0.005823063259321332,0.0178393108149221,0.00909425204036833,6.708900935374127e-05,0.00902716303101459,0.016271437579550848,0.0003406588321995456,0.015930778747351302,0.027818583896573372,0.0006805953455594453,0.027137988551013927,0.037693636011024094,0.0014354937949119914,0.0362581422161121,2019
2019-12-06,3145.91,0.0169590010714285,1308,0.23020813231552162,0.12543739365079365,0.1188662191780822,0.16069686934673366,0.12222870967741935,0.20923605916371077,0.1394607987131523,0.12185965302584925,393,315,199,31,0.10477073866472797,0.06977526045055846,0.038468159669314314,0.006571174472711452,0.01760114568730306,-0.0031678491662223223,6.729762329931944e-05,-0.0032351467895216416,0.007249770854574006,0.0003409746293934234,0.0069087962251805825,0.023656973315242948,0.0006821240048564971,0.02297484931038645,0.03348982132939255,0.0014359214227464582,0.032053899906646095,2019
2019-12-09,3135.96,0.0174299257142857,1144,0.24183739189189188,0.13905348709677418,0.13053492567567568,0.17964889361702127,0.1361838611111111,0.22070598623231005,0.15336181537751326,0.13170518967154973,370,310,235,36,0.1027839047951177,0.0673441708547968,0.04346503250591016,0.008518561421098497,0.021656625705963523,-0.0010975548602935618,6.91663718820861e-05,-0.001166721232175648,0.017540011672034044,0.0003406204518612996,0.017199391220172746,0.027690579071770582,0.000682985805116075,0.027007593266654507,0.043290914533190526,0.001434692198918038,0.04185622233427249,2019
2019-12-10,3132.52,0.0174682185714285,1137,0.24355166756756755,0.13883467647058823,0.13245811864406778,0.18213527542372882,0.1369348611111111,0.22414825028787108,0.153364466985356,0.13447146212292604,370,306,236,36,0.10471699109697932,0.07078378330251509,0.045200414312617704,0.00637655782652044,0.018893004862429952,0.0029039810658439487,6.93183276643988e-05,0.00283466273817955,0.018972781143304543,0.0003398083139336647,0.01863297282937088,0.028592706014098943,0.0006842133674743517,0.02790849264662459,0.04152916208843773,0.0014313951325915075,0.04009776695584622,2019
2019-12-11,3141.63,0.01708245,1134,0.23858213903743317,0.1366382006472492,0.12920222775800713,0.17370082511210763,0.1333166285714286,0.21848924913666404,0.15075809068722434,0.1304511452140306,374,309,223,35,0.10194393839018398,0.0677311584494397,0.04038419654067904,0.007435972889242054,0.020306945473193755,0.008538608499854607,6.77875e-05,0.008470820999854608,0.015636446217293706,0.0003392131951437246,0.015297233022149982,0.030803778130326642,0.0006854334230299072,0.030118344707296733,0.04557724061491016,0.0014276196852181138,0.044149620929692046,2019
2019-12-12,3168.57,0.01698601125,1320,0.22983349253731342,0.1251033782051282,0.11691912903225807,0.15889073429951692,0.12148467741935484,0.20962885008508145,0.14171950135390915,0.12488777181916208,402,312,207,31,0.10473011433218521,0.0679093487311723,0.037406056880162075,0.00818424917287014,0.01683172953474707,7.258531539142115e-05,6.740480654761904e-05,5.18050884380211e-06,0.011547146317022548,0.0003399365133598996,0.01120720980366265,0.022299120614513758,0.0006879788277918119,0.021611141786721945,0.03552294538328274,0.0014261260939482728,0.03409681928933447,2019
2019-12-13,3168.8,0.0168697483333333,1313,0.22575476865671643,0.11774216346153846,0.10855517928286854,0.14258618085106384,0.11173627586206897,0.2046176085450747,0.12574575913320737,0.11233193368823356,402,312,188,29,0.10801260519517797,0.07887184941186731,0.03084990498899487,0.009186984178669921,0.013413825444973812,0.007122391651237605,6.694344576719563e-05,0.0070554482054704095,0.016407202460669002,0.0003411493754630738,0.01606605308520593,0.016428933121545877,0.0006902633636478207,0.015738669757898057,0.03731876869123469,0.0014246568793318704,0.03589411181190282,2019
2019-12-16,3191.45,0.0172252669565217,1184,0.21782234236453205,0.11586032594936709,0.10433221631205673,0.14159635960591133,0.107652,0.1975803138460804,0.12331392044447441,0.10449016663904107,406,316,203,29,0.10196201641516496,0.074266393401606,0.03394435960591133,0.011528109637310352,0.018823753805433344,0.0003352146109771036,6.835423395445119e-05,0.0002668603770226524,0.010150567399736762,0.00034236535325477544,0.009808202046481987,0.012248235172801906,0.0006915067806924162,0.01155672839210949,0.03852811867219812,0.001423351317162558,0.03710476735503556,2019
2019-12-17,3192.52,0.0173182486363636,1202,0.21970908374384235,0.11481608437499999,0.10426717894736842,0.14205205970149254,0.10695306896551725,0.20016220555581007,0.1237465298873781,0.10404681164299268,406,320,201,29,0.10489299936884236,0.07641567566843198,0.03509899073597529,0.010548905427631566,0.01969971824438542,-0.00043235386016704703,6.872320887445873e-05,-0.0005010770690415057,0.009619924870794244,0.0003444050535406869,0.009275519817253558,0.02025689501651789,0.0006915164900486225,0.01956537852646927,0.04204760977894271,0.0014201486655493762,0.04062746111339333,2019
